Application_mode,Course,Fathers_qualification,Mothers_qualification,Fathers_occupation,Mothers_occupation,Scholarship_holder,Tuition_fees_up_to_date,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
Change of course,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Yes,Yes,5,11.98,5,11.98,Graduate
2nd phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",No,Yes,4,11.0,5,13.2,Graduate
Technological specialization diploma holders,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,No,Yes,5,12.666666666666666,4,11.75,Dropout
1st phase - general contingent,Basic Education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,No,Yes,5,12.2,4,13.0,Graduate
Over 23 years old,Management (evening attendance),Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Unskilled Workers,No,Yes,3,10.666666666666666,4,11.4,Dropout
1st phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,3,11.666666666666666,2,11.0,Dropout
1st phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Administrative staff,No,Yes,2,10.5,3,12.333333333333334,Dropout
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,8,14.26875,8,14.26875,Graduate
1st phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,2,10.5,3,13.333333333333334,Dropout
1st phase - general contingent,Social Service,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,No,Yes,5,11.2,1,10.0,Dropout
Short cycle diploma holders,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,No,9,13.666666666666666,6,13.5,Dropout
1st phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,Yes,Yes,5,11.4,3,10.0,Graduate
1st phase - general contingent,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Armed Forces Professions,"Personal Services, Security and Safety Workers and Sellers",No,Yes,5,10.6,2,10.0,Dropout
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Unskilled workers in extractive industry, construction, manufacturing and transport",Meal preparation assistants,No,Yes,5,11.8,6,11.708333333333334,Graduate
1st phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,5,11.833333333333334,4,12.0,Graduate
1st phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,No,Yes,6,12.571428571428571,4,13.0,Graduate
1st phase - general contingent,Tourism,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Specialists in Intellectual and Scientific Activities,No,Yes,3,10.0,5,10.8,Dropout
Technological specialization diploma holders,Veterinary Nursing,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,No,5,13.2,3,12.0,Dropout
Transfer,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,15.8,5,17.6,Graduate
Change of course,Advertising and Marketing Management,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Armed Forces Professions,Installation and Machine Operators and Assembly Workers,No,Yes,5,13.8,5,12.4,Dropout
1st phase - general contingent,Tourism,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,No,Yes,6,13.0,6,12.0,Graduate
Change of course,Advertising and Marketing Management,Higher Education - Bachelor's Degree,Higher Education,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,4,13.75,5,11.2,Graduate
Change of course,Journalism and Communication,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,No,Yes,7,11.285714285714286,6,12.333333333333334,Graduate
1st phase - general contingent,Animation and Multimedia Design,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,No,Yes,11,12.0,10,11.181818181818182,Graduate
1st phase - special contingent (Azores Island),Animation and Multimedia Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Armed Forces Professions,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,0,0.0,0,0.0,Dropout
International student (bachelor),Management,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,"Unskilled workers in agriculture, animal production, fisheries and forestry",No,Yes,1,11.0,1,10.0,Dropout
1st phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Armed Forces Professions,"Personal Services, Security and Safety Workers and Sellers",No,Yes,5,10.2,5,11.2,Graduate
Technological specialization diploma holders,Equinculture,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,No,Yes,4,12.0,4,12.4,Dropout
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,No,Yes,6,13.411428571428573,7,13.294444444444444,Graduate
1st phase - general contingent,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Installation and Machine Operators and Assembly Workers,Specialists in Intellectual and Scientific Activities,No,Yes,4,11.8,4,12.2,Graduate
2nd phase - general contingent,Basic Education,Higher Education,Higher Education,"Technicians and professionals, of intermediate level of health","Technicians and professionals, of intermediate level of health",No,Yes,6,11.833333333333334,6,14.333333333333334,Graduate
1st phase - general contingent,Nursing,Higher Education,Higher Education,Intermediate Level Technicians and Professions,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,6,13.345,6,13.345,Graduate
1st phase - general contingent,Basic Education,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,No,Yes,6,12.166666666666666,4,12.75,Graduate
Short cycle diploma holders,Communication Design,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher education - degree (1st cycle),"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,Yes,No,6,11.0,4,12.0,Dropout
2nd phase - general contingent,Management,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,No,Yes,2,11.5,3,10.0,Dropout
1st phase - general contingent,Equinculture,Higher Education,Higher Education,Armed Forces Professions,Specialists in Intellectual and Scientific Activities,No,No,6,14.0,4,13.0,Dropout
1st phase - general contingent,Communication Design,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Intermediate Level Technicians and Professions,Unskilled Workers,No,Yes,6,11.166666666666666,6,11.5,Graduate
Change of institution/course,Management,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,No,Yes,5,12.8,3,12.666666666666666,Dropout
2nd phase - general contingent,Communication Design,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,6,12.5,6,11.5,Graduate
2nd phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,Yes,No,7,13.462857142857144,7,13.164285714285716,Dropout
1st phase - general contingent,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,Yes,6,14.714285714285714,6,13.2,Graduate
Change of course,Equinculture,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,No,Yes,5,13.2,2,12.5,Dropout
1st phase - general contingent,Informatics Engineering,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Administrative staff,Intermediate Level Technicians and Professions,No,Yes,4,12.0,2,11.0,Dropout
Change of institution/course,Oral Hygiene,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Unskilled workers in extractive industry, construction, manufacturing and transport",sellers,No,Yes,5,12.414285714285713,2,13.5,Dropout
2nd phase - general contingent,Management,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Administrative staff,Intermediate Level Technicians and Professions,No,No,4,11.5,4,14.0,Dropout
1st phase - general contingent,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,No,Yes,4,14.25,5,12.714285714285714,Graduate
1st phase - special contingent (Azores Island),Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,5,12.6,4,11.25,Graduate
2nd phase - general contingent,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,No,0,0.0,0,0.0,Dropout
1st phase - general contingent,Oral Hygiene,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Yes,Yes,5,11.2,6,11.583333333333334,Graduate
1st phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,6,10.833333333333334,4,11.0,Graduate
2nd phase - general contingent,Social Service,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,4,11.25,3,10.0,Dropout
Over 23 years old,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,2,10.0,3,11.333333333333334,Dropout
Over 23 years old,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,Yes,7,11.375,6,12.166666666666666,Graduate
Over 23 years old,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers, livestock keepers, fishermen, hunters and gatherers, subsistence",cleaning workers,No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,1,11.0,2,12.5,Dropout
Over 23 years old,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,No,Yes,7,11.705714285714285,7,11.705714285714285,Graduate
Technological specialization diploma holders,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,Yes,6,12.0,7,13.428571428571429,Graduate
