Application_mode,Course,Fathers_qualification,Mothers_qualification,Fathers_occupation,Mothers_occupation,Scholarship_holder,Tuition_fees_up_to_date,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,12.666666666666666,6,12.666666666666666,Graduate
1st phase - general contingent,Journalism and Communication,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,Yes,Yes,6,12.666666666666666,5,12.0,Graduate
1st phase - general contingent,Social Service,Other - 11th year of schooling,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Unskilled Workers,Yes,Yes,6,11.333333333333334,6,11.5,Graduate
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,7,13.605,8,12.33125,Graduate
2nd phase - general contingent,Basic Education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,5,12.0,5,10.8,Graduate
1st phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Other - 11th year of schooling,Unskilled Workers,Unskilled Workers,No,Yes,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Unskilled Workers,No,Yes,5,11.2,3,11.666666666666666,Dropout
1st phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Armed Forces Professions,Specialists in Intellectual and Scientific Activities,No,Yes,5,13.375,5,14.166666666666666,Graduate
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,Yes,Yes,6,13.863333333333337,7,14.178571428571429,Graduate
1st phase - general contingent,Veterinary Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,Yes,5,12.4,5,13.4,Graduate
1st phase - general contingent,Basic Education,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,13.333333333333334,5,11.8,Graduate
Change of course,Basic Education,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,No,Yes,3,12.666666666666666,3,10.0,Dropout
1st phase - general contingent,Basic Education,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,Yes,6,12.0,4,11.5,Dropout
1st phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,5,10.6,5,11.8,Graduate
2nd phase - general contingent,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,6,12.25,6,11.857142857142858,Graduate
1st phase - general contingent,Social Service,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Armed Forces Professions,Unskilled Workers,No,Yes,4,11.0,6,11.833333333333334,Graduate
Over 23 years old,Social Service (evening attendance),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Installation and Machine Operators and Assembly Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Yes,Yes,5,11.0,5,12.6,Graduate
1st phase - general contingent,Advertising and Marketing Management,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Administrative staff,No,Yes,6,13.166666666666666,6,13.0,Dropout
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,7,12.855555555555554,7,12.761111111111113,Graduate
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,7,14.91875,8,15.355,Graduate
2nd phase - general contingent,Basic Education,Other - 11th year of schooling,Other - 11th year of schooling,Administrative staff,Administrative staff,No,Yes,4,11.5,3,11.0,Dropout
2nd phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",No,Yes,5,14.2,5,14.2,Graduate
2nd phase - general contingent,Journalism and Communication,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,6,12.5,6,13.0,Graduate
2nd phase - general contingent,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,"Skilled Workers in Industry, Construction and Craftsmen",No,Yes,5,11.666666666666666,4,11.0,Graduate
Over 23 years old,Nursing,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",No,Yes,7,14.257142857142856,7,14.257142857142856,Graduate
Change of course,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Administrative staff,No,Yes,3,12.0,2,11.333333333333334,Dropout
2nd phase - general contingent,Oral Hygiene,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Armed Forces Professions,Intermediate Level Technicians and Professions,No,Yes,7,12.457142857142856,8,13.5625,Graduate
2nd phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Higher Education - Bachelor's Degree,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,6,11.683333333333332,6,11.683333333333332,Graduate
Transfer,Social Service (evening attendance),Higher Education - Bachelor's Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Administrative staff,No,Yes,3,11.666666666666666,5,12.0,Graduate
2nd phase - general contingent,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,No,4,11.75,6,13.166666666666666,Dropout
Over 23 years old,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,5,13.2,5,12.0,Graduate
1st phase - general contingent,Nursing,Unknown,Unknown,Other Situation,Other Situation,No,Yes,4,11.95,4,11.95,Dropout
1st phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,5,12.4,5,10.4,Dropout
Holders of other higher courses,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,6,14.35,6,14.583333333333334,Dropout
Change of course,Basic Education,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,21,12.61904761904762,19,12.789473684210526,Graduate
Over 23 years old,Journalism and Communication,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Intermediate Level Technicians and Professions,No,No,5,12.0,0,0.0,Dropout
3rd phase - general contingent,Communication Design,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,No,6,12.166666666666666,0,0.0,Dropout
2nd phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Administrative staff,No,Yes,0,0.0,0,0.0,Dropout
3rd phase - general contingent,Management,Higher Education,Higher Education,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",No,No,3,10.0,3,10.571428571428571,Dropout
2nd phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Unskilled Workers,Yes,Yes,6,13.05,6,13.05,Graduate
Over 23 years old,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,No,Yes,2,11.0,0,0.0,Dropout
2nd phase - general contingent,Communication Design,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Administrative staff,No,Yes,6,11.5,6,12.0,Graduate
1st phase - general contingent,Tourism,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,Yes,Yes,6,12.0,6,12.5,Graduate
Over 23 years old,Management,Higher Education,Other - 11th year of schooling,Intermediate Level Technicians and Professions,Administrative staff,No,Yes,0,0.0,0,0.0,Dropout
Change of institution/course,Basic Education,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Administrative staff,No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,Yes,7,12.242857142857144,7,12.242857142857144,Graduate
Over 23 years old,Management (evening attendance),Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Intermediate Level Technicians and Professions,No,Yes,0,0.0,0,0.0,Dropout
3rd phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,8,12.93375,8,12.93375,Graduate
Holders of other higher courses,Informatics Engineering,Higher Education - Bachelor's Degree,Higher Education,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,No,Yes,0,0.0,0,0.0,Dropout
1st phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Intermediate Level Technicians and Professions,No,Yes,7,12.571428571428571,7,14.428571428571429,Graduate
1st phase - general contingent,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,No,Yes,4,13.75,4,14.333333333333334,Graduate
1st phase - general contingent,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Student,Administrative staff,No,Yes,6,11.166666666666666,6,11.333333333333334,Graduate
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,7,12.324285714285711,7,12.324285714285711,Graduate
Technological specialization diploma holders,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Armed Forces Professions,"Personal Services, Security and Safety Workers and Sellers",No,Yes,6,12.166666666666666,6,11.714285714285714,Graduate
2nd phase - general contingent,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,Yes,Yes,5,11.142857142857142,4,11.25,Graduate
1st phase - general contingent,Social Service,Unknown,Unknown,Student,Student,No,Yes,4,11.0,4,10.75,Graduate
1st phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,7,12.914285714285713,7,12.914285714285713,Graduate
1st phase - general contingent,Journalism and Communication,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Administrative staff,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Yes,Yes,6,13.833333333333334,6,14.166666666666666,Graduate
1st phase - general contingent,Veterinary Nursing,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,No,Yes,6,13.857142857142858,5,13.4,Graduate
Over 23 years old,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,Yes,Yes,6,13.714285714285714,5,12.8,Dropout
